season,player_id,player_name,dropbacks,total_pass_epa,epa_per_dropback,epa_per_sack,sack_epa_total,sacks_taken,epa_per_turnover,total_turnover_epa,total_turnovers,total_plays_deep,total_plays_medium,total_plays_short,total_epa_deep,total_epa_medium,total_epa_short,epa_per_play_deep,epa_per_play_medium,epa_per_play_short,total_plays_left,total_plays_middle,total_plays_right,total_epa_left,total_epa_middle,total_epa_right,epa_per_play_left,epa_per_play_middle,epa_per_play_right,total_plays_short_right,total_plays_deep_right,total_plays_deep_left,total_plays_deep_middle,total_plays_medium_left,total_plays_medium_middle,total_plays_medium_right,total_plays_short_left,total_plays_short_middle,total_epa_short_right,total_epa_deep_right,total_epa_deep_left,total_epa_deep_middle,total_epa_medium_left,total_epa_medium_middle,total_epa_medium_right,total_epa_short_left,total_epa_short_middle,epa_per_play_short_right,epa_per_play_deep_right,epa_per_play_deep_left,epa_per_play_deep_middle,epa_per_play_medium_left,epa_per_play_medium_middle,epa_per_play_medium_right,epa_per_play_short_left,epa_per_play_short_middle,dropbacks_cpoe,total_cpoe,cpoe,cpoe_attempts_deep,cpoe_attempts_medium,cpoe_attempts_short,cpoe_deep,cpoe_medium,cpoe_short,cpoe_attempts_left,cpoe_attempts_middle,cpoe_attempts_right,cpoe_left,cpoe_middle,cpoe_right,total_plays_cpoe_short_right,total_plays_cpoe_deep_right,total_plays_cpoe_deep_left,total_plays_cpoe_deep_middle,total_plays_cpoe_medium_left,total_plays_cpoe_medium_middle,total_plays_cpoe_medium_right,total_plays_cpoe_short_left,total_plays_cpoe_short_middle,cpoe_short_right,cpoe_deep_right,cpoe_deep_left,cpoe_deep_middle,cpoe_medium_left,cpoe_medium_middle,cpoe_medium_right,cpoe_short_left,cpoe_short_middle,air_yards_total,air_yards_targets,adot,air_yards_total_deep,air_yards_total_medium,air_yards_total_short,air_yards_targets_deep,air_yards_targets_medium,air_yards_targets_short,adot_deep,adot_medium,adot_short,air_yards_targets_left,air_yards_targets_middle,air_yards_targets_right,adot_left,adot_middle,adot_right,air_yards_total_left,air_yards_total_middle,air_yards_total_right,air_yards_targets_short_right,air_yards_targets_deep_right,air_yards_targets_deep_left,air_yards_targets_deep_middle,air_yards_targets_medium_left,air_yards_targets_medium_middle,air_yards_targets_medium_right,air_yards_targets_short_left,air_yards_targets_short_middle,adot_short_right,adot_deep_right,adot_deep_left,adot_deep_middle,adot_medium_left,adot_medium_middle,adot_medium_right,adot_short_left,adot_short_middle,air_yards_total_short_right,air_yards_total_deep_right,air_yards_total_deep_left,air_yards_total_deep_middle,air_yards_total_medium_left,air_yards_total_medium_middle,air_yards_total_medium_right,air_yards_total_short_left,air_yards_total_short_middle
2010,00-0011022,D.McNabb,545,-15.587,-0.029,-1.393,-51.543,37,-4.063055,-81.2611,20,136,144,189,44.51912,2.8342676,-23.962156,0.32734647,0.019682415,-0.12678389,169,159,141,3.4980855,12.258087,7.635055,0.02069873,0.07709489,0.054149326,61,32,49,55,44,52,48,76,52,-1.0064209,4.357327,17.154993,23.006798,-2.2680514,0.8181691,4.284149,-11.388855,-11.56688,-0.016498702,0.13616647,0.3501019,0.41830543,-0.051546622,0.01573402,0.089253105,-0.14985335,-0.22244,465,-1527.1869,-3.284273,135,142,188,-2.8007998,1.8887002,-7.538694,168,158,139,-3.5302665,-0.8199802,-5.7880955,61,31,49,55,44,51,47,75,52,-3.168534,-9.865378,-4.603904,2.787455,6.5343037,5.610276,-6.498681,-8.733372,-10.942134,4088,469,8.71641791,3113,939,36,136,144,189,22.889706,6.5208335,0.1904762,168,158,139,8.273809,9.7784815,8.201439,1390,1545,1140,61,32,49,55,44,52,48,76,52,0.5081967,25.15625,23.081633,21.4,6.3636365,6.4038463,6.7916665,-0.46052632,0.7692308,31,805,1131,1177,280,333,326,-35,40
2010,00-0019041,B.Volek,1,1.014,1.014,0,0,0,0,0,0,0,1,0,0,1.0138069,0,0,1.0138069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,8,0,8,0,0,1,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,00-0019559,C.Pennington,2,0.921,0.461,0,0,0,0,0,0,0,1,1,0,1.2629175,-0.3414224,0,1.2629175,-0.3414224,1,1,0,-0.3414224,1.2629175,0,-0.3414224,1.2629175,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1.2629175,0,-0.3414224,0,0,0,0,0,0,1.2629175,0,-0.3414224,0,2,-20.665684,-10.332842,0,1,1,0,24.43993,-45.105614,1,1,0,-45.105614,24.43993,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,24.43993,0,-45.105614,0,9,2,4.5,0,6,3,0,1,1,0,6,3,1,1,0,3,6,0,3,6,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,6,0,3,0,0,0,0,0,0,6,0,3,0
2010,00-0019596,T.Brady,551,144.58,0.262,-1.521,-38.015,25,-2.9316943,-20.52186,7,123,153,216,76.757996,64.68411,38.74338,0.62404877,0.422772,0.17936751,183,148,161,104.32291,51.321163,24.541422,0.5700705,0.34676462,0.15243119,80,31,49,43,50,53,50,84,52,7.1090655,-6.2390623,56.8073,26.189754,12.995743,28.016953,23.67142,34.51986,-2.8855433,0.08886332,-0.20126007,1.1593326,0.60906404,0.25991485,0.52862173,0.47342837,0.41095072,-0.055491216,487,1548.8625,3.1804159,122,150,215,1.9997714,4.7869644,2.7295148,181,147,159,10.251116,-3.3782144,1.1950192,80,30,49,43,48,53,49,84,51,0.68192035,-11.555533,14.520613,-2.810974,3.0396671,1.6984944,9.839193,11.881404,-9.132271,3872,492,7.869918699,2503,1063,306,123,153,216,20.349594,6.9477124,1.4166666,181,147,159,7.524862,9.755102,6.534591,1362,1434,1039,80,31,49,43,50,53,50,84,52,1.075,20.451612,18.938776,21.88372,7.14,6.90566,6.8,1.1071428,2.4423077,86,634,928,941,357,366,340,93,127
2010,00-0019709,C.Redman,7,-2.276,-0.325,0,0,0,0,0,0,0,1,5,0,1.4080904,-4.462899,0,1.4080904,-0.89257985,2,0,4,0.09216046,0,-3.1469693,0.04608023,0,-0.7867423,4,0,0,0,1,0,0,1,0,-3.1469693,0,0,0,1.4080904,0,0,-1.3159299,0,-0.7867423,0,0,0,1.4080904,0,0,-1.3159299,0,6,-30.372059,-5.06201,0,1,5,0,36.482574,-13.370926,2,0,4,26.521914,0,-20.853971,4,0,0,0,1,0,0,1,0,-20.853971,0,0,0,36.482574,0,0,16.561253,0,9,6,1.5,0,10,-1,0,1,5,0,10,-0.2,2,0,4,2.5,0,1,5,0,4,4,0,0,0,1,0,0,1,0,1,0,0,0,10,0,0,-5,0,4,0,0,0,10,0,0,-5,0
2010,00-0020245,M.Vick,477,84.079,0.176,-1.653,-57.861,35,-4.025954,-48.311447,12,125,84,159,93.59431,16.336418,1.7029024,0.74875444,0.19448116,0.010710078,156,97,114,61.59806,20.514153,30.065157,0.39485937,0.2114861,0.26372945,53,35,49,40,33,25,26,74,32,-5.8789277,30.840868,35.09083,28.206348,16.395628,-5.162426,5.1032166,10.111599,-2.5297685,-0.11092316,0.88116765,0.71613944,0.7051587,0.4968372,-0.20649704,0.19627756,0.13664323,-0.079055265,362,2167.2961,5.9870057,124,83,155,10.117614,2.0623538,4.7841086,154,97,111,10.4395275,-0.9959495,5.9118567,50,35,49,40,32,25,26,73,32,1.0159138,11.752115,11.393739,7.1241713,5.5707216,-8.047363,7.465245,11.933301,-5.637184,3419,368,9.29076087,2821,589,9,125,84,159,22.568,7.0119047,0.056603774,154,97,111,8.233767,11.948454,9.261261,1268,1159,1028,53,35,49,40,33,25,26,74,32,0.2264151,24.028572,21.244898,22.775,7.212121,7.12,6.6538463,-0.9864865,2.1875,12,841,1041,911,238,178,173,-73,70
2010,00-0020397,C.Ochocinco,1,-0.516,-0.516,0,0,0,0,0,0,1,0,0,-0.51618975,0,0,-0.51618975,0,0,0,0,1,0,0,-0.51618975,0,0,-0.51618975,0,1,0,0,0,0,0,0,0,0,-0.51618975,0,0,0,0,0,0,0,0,-0.51618975,0,0,0,0,0,0,0,1,-27.640692,-27.640692,1,0,0,-27.640692,0,0,0,0,1,0,0,-27.640692,0,1,0,0,0,0,0,0,0,0,-27.640692,0,0,0,0,0,0,0,37,1,37,37,0,0,1,0,0,37,0,0,0,0,1,0,0,37,0,0,37,0,1,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0
2010,00-0020531,D.Brees,709,86.177,0.122,-1.661,-43.188,26,-4.4866595,-112.16649,25,182,162,311,109.24584,48.642056,-36.15154,0.60025185,0.3002596,-0.11624289,234,141,276,27.919254,30.573236,81.70456,0.119313054,0.21683146,0.296031,144,67,67,48,60,36,65,107,57,18.726976,49.449326,38.95102,20.845495,17.679647,26.242462,13.528257,-28.711412,-16.51472,0.13004845,0.7380496,0.5813585,0.43428114,0.29466078,0.7289573,0.20812704,-0.26833096,-0.28973195,643,3852.8037,5.9919186,180,159,304,8.050472,3.8437822,5.8965697,231,141,271,3.0026042,6.7190022,8.161708,142,66,66,48,60,36,63,105,57,8.400144,12.3968115,8.0316925,2.1000776,2.349128,7.4833593,3.187504,0.21487753,10.125871,4964,655,7.578625954,3750,1154,60,182,162,311,20.604395,7.123457,0.19292605,231,141,271,7.4848485,10.269504,6.4391146,1729,1448,1745,144,67,67,48,60,36,65,107,57,-0.11805555,19.865671,19.791044,22.770834,7.0833335,7.4166665,7.0307693,-0.08411215,1.5438596,-17,1331,1326,1093,425,267,457,-9,88
2010,00-0020608,D.Carr,13,-5.544,-0.426,-0.987,-0.987,1,-2.2210612,-2.2210612,1,7,2,3,-5.121152,0.5426266,0.021104727,-0.73159313,0.2713133,0.007034909,2,3,7,-1.7054474,-2.158507,-0.69346577,-0.8527237,-0.7195024,-0.09906654,2,3,2,2,0,0,2,0,1,0.044142738,-1.280235,-1.7054474,-2.1354692,0,0,0.5426266,0,-0.023038011,0.022071369,-0.42674503,-0.8527237,-1.0677346,0,0,0.2713133,0,-0.023038011,12,-232.12967,-19.34414,7,2,3,-36.687153,-16.152122,18.994883,2,3,7,-38.02724,2.1206863,-23.20532,2,3,2,2,0,0,2,0,1,15.705263,-53.84784,-38.02724,-9.6060295,0,0,-16.152122,0,25.574118,137,12,11.41666667,124,14,-1,7,2,3,17.714285,7,-0.33333334,2,3,7,21,12.333333,8.285714,42,37,58,2,3,2,2,0,0,2,0,1,-1.5,15.666667,21,17.5,0,0,7,0,2,-3,47,42,35,0,0,14,0,2
2010,00-0020679,S.Hill,458,17.734,0.039,-1.507,-25.616,17,-5.243785,-68.169205,13,121,100,192,26.780733,3.2515385,7.0625715,0.22132838,0.032515384,0.036784228,120,109,184,-2.1023707,11.528903,27.668312,-0.017519755,0.10576975,0.15037127,91,50,37,34,23,34,43,60,41,22.793968,-1.3799343,8.577176,19.58349,-4.979955,1.9772162,6.254277,-5.699592,-10.031804,0.25048316,-0.027598687,0.23181558,0.575985,-0.21651979,0.05815342,0.14544831,-0.094993204,-0.24467815,409,-832.79694,-2.0361784,119,100,190,-7.849406,-2.3371382,1.7631378,120,109,180,-2.2063217,-4.2464714,-0.58429414,89,48,37,34,23,34,43,60,41,2.4438987,-8.05287,-6.3061414,-9.241598,-3.2749436,-6.536704,1.4850657,0.7315388,1.7950454,2992,413,7.244552058,2225,675,92,121,100,192,18.38843,6.75,0.47916666,120,109,180,7.2833333,8.311927,6.461111,874,906,1163,91,50,37,34,23,34,43,60,41,-0.18681319,18.84,18.594595,17.5,7.2173915,6.529412,6.6744184,0.33333334,2.1707318,-17,942,688,595,166,222,287,20,89
